,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
1072,BASI,20441000.0,0.2165,-0.063,-0.158,-0.4331,-0.1531,-0.4284,-3.8417,0.7157,-0.1177,0.0,-0.1549,0.0,-0.0433,0.0,0.0,0.0,1.2501,Healthcare,9323691.7,210.12657989085707,0.000397384595813624,2346263996698.2695,2016
1074,BLFS,8226992.0,0.5809,-0.779,-0.8357,-2.1716,-0.5628,-1.4684,-0.2245,0.8983,0.1508,0.0,0.0326,0.0,-0.2859,0.0,0.0,0.0,6.5725,Healthcare,20862178.56,270.3703692802077,0.0008891658649392335,2346263996698.2695,2016
1088,CEMI,17868841.0,0.473,-0.359,-0.7469,-0.7774,-0.7154,-0.813,1.6473,0.0,-0.1042,0.0,-0.0733,0.0,-0.2,0.0,0.0,0.0,4.6621,Healthcare,79978532.55,23.308266040138502,0.0034087610201813646,2346263996698.2695,2016
1090,CLBS,0.0,0.0,-2.901,0.0,-6.6865,-1.7794,-7.8284,0.0231,1.3052,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,4.1296,Healthcare,25161773.56,13.96104147430622,0.0010724186875564034,2346263996698.2695,2016
1100,DYNT,30411757.0,0.3405,-0.045,-0.0626,-0.3404,-0.0991,-0.1795,-2.3352,0.7436,0.0038,0.0,-0.0173,0.0,-0.0131,0.0,0.0,0.0,1.4782,Healthcare,8236641.6,20.0,0.0003510534880810872,2346263996698.2695,2016
1114,ICCC,9543961.0,0.568,0.16399999999999998,0.0533,0.0258,0.0458,0.023,-4.8775,0.1527,0.0311,-0.0603,0.0569,0.0,0.0432,0.4569,49.5833,13.6027,1.4202,Healthcare,28841970.5,47.73109653155854,0.0012292721765575934,2346263996698.2695,2016
1115,IDXG,13085000.0,0.4925,-0.14300000000000002,-0.6368,-1.2758,-0.4587,0.7525,-3.9132,1.2108,-0.2721,0.0,-0.4191,0.0,-0.5833,0.0,0.0,0.0,2.1302,Healthcare,13622002.5,-86.40000025431314,0.0005805826846070722,2346263996698.2695,2016
1118,ISR,4769000.0,0.027000000000000003,-0.866,-0.9878,-0.2872,-2.1637,-0.3593,3.7609,0.0,-0.0626,0.0,-0.161,0.0,-0.1296,0.0,0.0,0.0,2.9189,Healthcare,47859238.53,-35.48387050256521,0.0020398062024285803,2346263996698.2695,2016
1121,LAKE,99646000.0,0.3646,0.08800000000000001,0.0387,0.0571,0.0997,0.0749,0.7324,0.1988,-0.025,-0.073,-0.0535,0.2463,-0.0823,0.0,25.463,12.1214,1.475,Healthcare,99562567.5,45.50000190734863,0.004243451190492942,2346263996698.2695,2016
1124,MICR,19638217.0,0.1476,0.055,-0.0363,-0.1133,-0.029,-0.0894,4.0414,0.7601,-0.0038,0.0,-0.0435,0.0,-0.0403,0.0,0.0,14.0055,1.7249,Healthcare,10844060.15,-9.090906839021626,0.00046218414318508383,2346263996698.2695,2016
1125,MLSS,10482005.0,0.6016,-0.56,-0.5673,-0.6996,-0.8312,-0.7567,0.6134,0.0,-0.024,0.0,-0.0678,0.0,-0.1271,0.0,0.0,0.0,4.5837,Healthcare,36471071.0,-9.230769936149667,0.0015544316859195362,2346263996698.2695,2016
1126,MSON,23113194.0,0.6694,-0.004,-0.0507,-0.048,-0.2367,-0.0634,96.7584,0.0,-0.0638,0.0,0.1096,0.0,0.1222,0.0,258.5,0.0,1.6504,Healthcare,40271120.45,-6.435648986678586,0.0017163934027317764,2346263996698.2695,2016
1140,PDEX,19189000.0,0.2563,0.078,0.0428,0.0926,0.075,0.0984,-1.4833,0.0081,-0.0149,-0.027000000000000003,-0.0886,-0.2449,0.0791,0.0,27.8,13.9067,2.587,Healthcare,23054256.44,36.000003814697266,0.0009825943062009483,2346263996698.2695,2016
1141,PMD,38980000.0,0.5503,0.315,0.1713,0.4279,0.3561,0.3387,-0.0454,0.2166,0.0468,0.026,0.0921,0.1294,0.1217,0.1952,19.5122,10.6347,8.3995,Healthcare,131045280.0,-11.710174873942124,0.005585274299243849,2346263996698.2695,2016
1142,PRPH,4206000.0,0.237,-0.53,-0.6819,-0.481,-0.3382,-0.481,-0.4706,0.2499,-0.1964,0.0,-0.2688,0.0,-0.4619,0.0,0.0,0.0,5.8159,Healthcare,34673975.28,6.896560419070606,0.0014778377594675714,2346263996698.2695,2016
1146,SSY,63433000.0,0.5747,-0.098,-0.222,-0.7226,-0.1442,-1.2998,-1.1513,0.5363,-0.0972,0.0,-0.1469,0.0,-0.1263,0.0,0.0,0.0,0.2423,Healthcare,4721704.0,40.707968149387604,0.00020124350911255163,2346263996698.2695,2016
1157,CMCSA,80736000000.0,1.0,0.326,0.1075,0.1609,0.0669,0.2792,2.1247,1.1317,0.1548,0.1615,0.1049,0.1889,0.1092,0.1165,19.1806,8.3965,3.063,Consumer Cyclical,165225076805.7,17.456747439294027,11.354212905730856,1455187410853.5107,2016
1160,F,151800000000.0,0.1104,0.108,0.0302,0.1573,0.0228,0.0913,6.3343,4.9013,-0.0771,0.0,0.0137,-0.2632,0.0085,-0.275,10.8534,9.3773,1.7151,Consumer Cyclical,50029067103.57,4.3395793678449985,3.4379810277651086,1455187410853.5107,2016
1161,NKE,32376000000.0,0.4624,0.163,0.1161,0.3067,0.2652,0.2851,-0.6462,0.1663,0.1027,0.1274,0.1262,0.1469,0.1071,0.1729,24.9864,16.9366,7.5894,Consumer Cyclical,93030336084.18,21.94097454588569,6.393014081231979,1455187410853.5107,2016
1165,LOW,59074000000.0,0.3482,0.111,0.0431,0.3326,0.1468,0.1296,1.8202,1.6526,0.0885,0.0464,0.1278,0.1382,0.1285,0.16899999999999998,26.2491,11.8197,8.5676,Consumer Cyclical,65576396137.62,33.60936913117761,4.506388362661651,1455187410853.5107,2016
1166,MAT,5453150000.0,0.467,0.139,0.0574,0.13,0.0754,0.1417,1.9182,0.9662,0.0079,-0.0511,-0.0256,-0.1629,-0.0544,-0.2966,31.2967,14.7444,4.053,Consumer Cyclical,9741449545.92,-43.75663018664649,0.6694292070741836,1455187410853.5107,2016
1168,DIS,55632000000.0,0.4609,0.31,0.1688,0.2171,0.1264,0.3418,0.9017,0.4662,0.0733,0.131,0.0942,0.1763,0.1076,0.1896,16.0573,9.5156,3.4375,Consumer Cyclical,148640788415.67,2.9233341832605886,10.214546065134508,1455187410853.5107,2016
1170,MGM,9478269000.0,0.4175,0.281,0.1161,0.1769,0.0465,0.0599,4.3879,2.1135,-0.0495,-0.0173,-0.009000000000000001,-0.2119,-0.0819,0.0,15.1959,10.727,2.7198,Consumer Cyclical,16902850846.64,14.885385316843125,1.161558347781883,1455187410853.5107,2016
1172,CCL,16389000000.0,0.4275,0.292,0.1696,0.123,0.0594,0.1028,1.8367,0.4159,0.0437,0.0305,0.022,0.0932,0.0433,0.413,13.7828,9.9315,1.7155,Consumer Cyclical,38766183574.82,30.56348156089301,2.663999378065158,1455187410853.5107,2016
1174,EBAY,9298000000.0,0.7845,0.464,0.7815,0.6894,0.1016,1.1103,0.4198,0.8502,0.0676,0.2307,-0.0185,0.2076,0.0878,0.4273,4.6552,8.1525,3.123,Consumer Cyclical,33358924969.6,26.474535510446035,2.292414346138,1455187410853.5107,2016
1178,GES,2184495000.0,0.3605,0.09,0.0375,0.0804,0.1001,0.0849,-2.2297,0.0062,0.0941,0.039,-0.0096,-0.2105,-0.056,-0.2232,18.6082,5.4477,1.4728,Consumer Cyclical,1512064275.7,46.812657749591104,0.10390855943518157,1455187410853.5107,2016
1183,LVS,11271000000.0,0.4955,0.293,0.149,0.2718,0.1088,0.0965,2.2576,1.5533,0.0843,0.054000000000000006,0.0187,-0.0028,-0.054000000000000006,-0.0902,25.2749,15.0903,6.8637,Consumer Cyclical,42386359646.94,36.36514219721316,2.912776686411762,1455187410853.5107,2016
1189,IPG,9056200000.0,0.1364,0.116,0.0668,0.2999,0.1541,1.709,0.563,0.838,0.0464,0.0,0.086,0.0586,0.104,0.337,15.4671,9.4295,4.5817,Consumer Cyclical,9333704324.17,-11.401896961346095,0.6414090896165398,1455187410853.5107,2016
1190,NYT,1555342000.0,0.5954,0.125,0.04,0.0765,0.0638,0.0679,-0.9211,0.5216,-0.0804,-0.1402,-0.0672,-0.1225,-0.0373,-0.2514,75.8333,14.5802,2.5959,Consumer Cyclical,2198917539.0,38.93481320054975,0.15110888965911748,1455187410853.5107,2016
1191,JCP,12625000000.0,0.3605,0.041,-0.0406,-0.3919,-0.0089,-0.0799,7.5532,3.6707,-0.0651,0.0,-0.1129,0.0,-0.1135,0.0,0.0,11.9686,1.745,Consumer Cyclical,2282789914.6,-62.06482455254585,0.15687257170958316,1455187410853.5107,2016
1194,M,27079000000.0,0.3908,0.115,0.0396,0.2522,0.0886,0.1124,2.1031,1.7969,0.0767,0.0282,0.0785,0.1126,0.0714,0.0032,12.5491,6.2464,3.0261,Consumer Cyclical,12860775570.48,-24.054969549047733,0.8837882649724664,1455187410853.5107,2016
1196,TPR,4491800000.0,0.6793,0.192,0.1025,0.1716,0.1479,0.2032,-0.5129,0.3266,0.1168,0.0245,0.0279,-0.111,-0.0343,-0.232,24.0783,12.3477,4.1446,Consumer Cyclical,11112846069.78,28.675528939591512,0.7636711248939397,1455187410853.5107,2016
1197,LKQ,8584031000.0,0.3905,0.114,0.0541,0.1348,0.0688,0.1464,3.1815,0.9706,0.2239,0.219,0.2014,0.1603,0.1835,0.1333,20.5497,12.9294,2.7715,Consumer Cyclical,9542053855.94,31.066700834617144,0.6557268008759987,1455187410853.5107,2016
1200,UAA,4833338000.0,0.4652,0.116,0.0532,0.1265,0.0954,0.1233,1.0133,0.4025,0.2547,0.1897,0.2542,0.2018,0.2603,0.1521,66.3778,24.4055,6.4460000000000015,Consumer Cyclical,13087619506.15,-51.69065986023549,0.8993769055817848,1455187410853.5107,2016
1201,GTN,812465000.0,0.4154,0.327,0.0766,0.1264,0.0635,0.0874,5.393,3.5644,0.0512,0.1361,0.1603,0.4052,0.2346,0.3979,12.5862,8.3916,1.5961,Consumer Cyclical,795962716.05,52.96803919418613,0.054698295911118695,1455187410853.5107,2016
1203,DKS,7270965000.0,0.3002,0.1,0.0454,0.1847,0.1487,0.1678,-0.1551,0.0033,0.0912,0.1462,0.0853,0.1285,0.0956,0.0625,13.5645,5.9895,2.4504,Consumer Cyclical,4476258291.76,-45.36856021204275,0.3076069967602689,1455187410853.5107,2016
1204,GPK,4298100000.0,0.1864,0.162,0.053,0.2158,0.0665,0.1092,3.0022,2.0368,0.016,0.0,0.0461,0.0019,0.0176,0.1952,18.0845,8.8516,3.8596,Consumer Cyclical,4077661947.12,23.75850685158887,0.28021558712690686,1455187410853.5107,2016
1205,TJX,30944938000.0,0.2879,0.14,0.0736,0.5288,0.499,0.35,-0.1927,0.375,0.1039,0.1641,0.1088,0.1504,0.0921,0.0917,21.3639,10.995,11.1536,Consumer Cyclical,48346698405.09,4.738109312464832,3.3223692044403554,1455187410853.5107,2016
1206,KSS,19204000000.0,0.3127,0.121,0.035,0.1226,0.0941,0.0631,1.7261,0.8574,0.1,0.038,0.0997,-0.0153,0.0647,-0.0613,14.1034,5.7452,1.6967,Consumer Cyclical,9316377428.28,10.454290904743543,0.6402183910329232,1455187410853.5107,2016
1207,DRI,6933500000.0,0.2223,0.134,0.0541,0.1921,0.1246,0.2239,0.1781,0.2254,0.0429,0.0268,-0.0015,-0.033,0.0584,-0.0268,23.0714,9.4438,4.3957,Consumer Cyclical,8595804841.47,38.31767985689857,0.5907008799937531,1455187410853.5107,2016
1208,VFC,11026147000.0,0.493,0.151,0.0882,0.18600000000000005,0.1543,0.3118,0.2607,0.2557,0.0889,0.0854,0.1109,0.1848,0.0869,0.0643,19.4893,13.2186,4.2346,Consumer Cyclical,20802436179.5375,43.90831683434931,1.4295365685809671,1455187410853.5107,2016
1209,BLL,9061000000.0,0.1948,0.102,0.029,0.0766,0.0227,0.0519,7.4731,2.1927,0.0598,0.0041,0.0186,-0.0916,-0.0045,-0.1584,45.6325,21.742,3.847,Consumer Cyclical,13241542455.75,1.0514366343575756,0.9099544400252503,1455187410853.5107,2016
1213,GME,9363800000.0,0.3117,0.086,0.043,0.1936,0.1943,0.6418,-0.1301,0.166,0.1271,0.1588,0.0717,0.0714,0.0791,0.0,7.0553,3.3481,1.3424,Consumer Cyclical,2806211547.3,-23.98602899738337,0.19284193406085567,1455187410853.5107,2016
1215,TIF,4104900000.0,0.6069,0.234,0.113,0.1593,0.1253,0.1249,0.2176,0.3764,0.0703,0.0731,0.0555,0.0439,0.0216,0.0318,17.9307,8.85,2.8325,Consumer Cyclical,8299152532.66,33.62900844943207,0.5703150309548308,1455187410853.5107,2016
1219,GPS,15797000000.0,0.3621,0.134,0.0582,0.3615,0.2388,0.214,0.1701,0.6802,0.0777,0.0589,0.1076,0.0341,0.0578,-0.0168,11.0446,4.8558,3.8787,Consumer Cyclical,9943058819.9,49.1401069616576,0.6832837300364013,1455187410853.5107,2016
1221,AEO,3521848000.0,0.3699,0.135,0.0619,0.2075,0.225,0.2265,-0.5468,0.0,0.059,-0.0141,0.0423,0.098,0.0076,-0.0174,12.9643,5.3957,2.6444,Consumer Cyclical,2826110175.24,26.072841109438357,0.1942093612246413,1455187410853.5107,2016
1224,IP,19495000000.0,0.3117,0.146,0.0464,0.2082,0.0454,0.0563,5.8245,4.0539,-0.002,-0.0048,-0.0446,-0.0618,-0.0361,-0.1125,24.2682,13.5442,5.0575,Consumer Cyclical,21954684066.68,12.431754692072266,1.5087186642030475,1455187410853.5107,2016
1226,BBY,39528000000.0,0.2325,0.054000000000000006,0.0227,0.2049,0.2318,0.16899999999999998,-0.7239,0.3961,0.0735,0.0255,-0.006999999999999999,-0.0391,-0.0277,0.0,11.0309,3.858,2.2142,Consumer Cyclical,9791502628.96,64.13886544677611,0.672868838469197,1455187410853.5107,2016
1229,GIII,2344142000.0,0.3578,0.09,0.0488,0.1287,0.1429,0.1502,-0.6277,0.0,0.1389,0.234,0.1328,0.1128,0.1392,0.2107,19.5635,10.0011,2.5162,Consumer Cyclical,2244982333.1,23.25425664385665,0.15427444715064234,1455187410853.5107,2016
1231,GT,15158000000.0,0.2786,0.152,0.0847,0.2849,0.0909,0.1617,1.8851,1.2157,-0.0591,0.0,-0.0919,0.2828,-0.1014,0.2406,6.4844,5.416,1.7993,Consumer Cyclical,8142228161.18,4.978395331251516,0.5595312397874814,1455187410853.5107,2016
1235,CTB,2924869000.0,0.2359,0.17800000000000002,0.0849,0.2308,0.1731,0.1392,-0.3597,0.3028,0.0268,0.0,-0.0271,0.0268,0.0125,0.3978,8.5088,3.6219,1.928,Consumer Cyclical,2074596307.6,-7.841998111639705,0.14256557554900695,1455187410853.5107,2016
1236,SKX,3563311000.0,0.4587,0.113,0.0683,0.1518,0.2364,0.1432,-1.5965,0.0468,0.0898,0.1061,0.1593,0.0,0.2367,0.6331,15.7532,8.1525,2.4004,Consumer Cyclical,3929537995.75,52.02893162112836,0.2700365579334698,1455187410853.5107,2016
1238,FL,7412000000.0,0.338,0.133,0.073,0.2119,0.2546,0.2108,-0.9009,0.0509,0.0393,0.0868,0.1044,0.2908,0.0923,0.1399,17.7635,8.6894,3.7243,Consumer Cyclical,9484785681.2,-33.05223725396708,0.6517913507537075,1455187410853.5107,2016
1239,BBBY,12103887000.0,0.3817,0.14,0.0695,0.3288,0.2199,0.2284,0.5266,0.5826,0.1413,0.1021,0.1657,0.1062,0.1512,0.0372,9.3107,5.1712,2.9455,Consumer Cyclical,7844018371.35,-44.9425599689309,0.5390383611654014,1455187410853.5107,2016
1241,SHOO,1399551000.0,0.373,0.13699999999999998,0.0864,0.1632,0.1728,0.2893,-0.8637,0.0,0.1379,0.1244,0.0991,0.0664,0.0639,0.0118,16.7849,10.3608,2.7042,Consumer Cyclical,2152180993.5699,31.549323001788178,0.14789716963724844,1455187410853.5107,2016
1242,ANF,3518680000.0,0.6132,0.081,0.0101,0.0276,0.0349,0.0231,-0.899,0.2584,0.0481,-0.1816,0.0534,-0.2182,-0.0246,-0.4369,50.6731,5.3466,1.3762,Consumer Cyclical,1770842896.4,52.74782727911729,0.12169174109067835,1455187410853.5107,2016
1244,EVC,258514000.0,0.5243,0.249,0.0789,0.1112,0.0717,0.134,3.5582,1.5832,0.0187,0.0,0.0483,0.0,0.0414,-0.4697,29.1304,12.8976,3.2773,Consumer Cyclical,600866190.7,10.556752481243878,0.041291326891535855,1455187410853.5107,2016
1246,URBN,3445134000.0,0.3489,0.14300000000000002,0.0652,0.1974,0.1876,0.1641,-0.3579,0.1319,0.1522,0.0842,0.1509,0.0185,0.1265,0.0314,12.8547,5.1207,2.3976,Consumer Cyclical,2699560904.04,22.67320317313941,0.1855129369526793,1455187410853.5107,2016
1247,ETM,464771000.0,0.3045,0.21,0.0778,0.0919,0.0672,0.2541,4.3703,1.2011,0.0094,-0.0242,0.0278,-0.1362,0.0615,0.1054,16.5426,10.8545,1.5271,Consumer Cyclical,631493539.35,-28.64247707507381,0.04339602821189954,1455187410853.5107,2016
1251,GNTX,1678924756.0,0.3981,0.35700000000000004,0.207,0.1819,0.2215,0.2363,-0.8977,0.0972,0.1136,0.1232,0.1043,0.1615,0.1312,0.1635,16.7521,8.7953,3.0399,Consumer Cyclical,5807550058.21,5.339438012715156,0.3990929288485047,1455187410853.5107,2016
1252,RCL,8496401000.0,0.4097,0.293,0.1511,0.1407,0.0485,0.0779,3.7233,1.0292,0.0485,0.0718,0.0268,0.1643,0.0304,0.4056,14.0721,10.9636,1.973,Consumer Cyclical,17996994352.88,44.98676542673027,1.2367475294693642,1455187410853.5107,2016
1256,ALV,7921600000.0,0.2055,0.156,0.0716,0.1542,0.1186,0.1771,0.2561,0.4197,0.0177,0.0275,-0.0054,-0.0165,-0.0086,0.0812,12.7621,6.1106,1.9683,Consumer Cyclical,7239720076.7085,15.029169038856725,0.49751118122044424,1455187410853.5107,2016
1257,BYD,2199259000.0,0.4603,0.28600000000000003,0.1911,0.4499,0.0395,0.165,4.7982,3.4574,-0.0253,0.1076,-0.0638,0.0,-0.1359,0.0,5.5613,8.4469,2.5133,Consumer Cyclical,2295810277.8,72.64772776825325,0.15776732678393907,1455187410853.5107,2016
1258,WGO,975226000.0,0.1155,0.07400000000000001,0.0467,0.1695,0.1936,0.1868,-1.1896,0.0,0.0306,0.02,0.1627,0.3296,0.0818,0.1408,14.3314,7.8643,2.4273,Consumer Cyclical,651366770.32,71.53347858643521,0.04476171010426445,1455187410853.5107,2016
1260,EXPE,8774000000.0,0.818,0.14800000000000002,0.0321,0.0682,0.0466,-0.22,0.9781,0.7645,0.1599,0.0261,0.1812,-0.1161,0.1816,0.0281,60.1283,13.9545,4.0985,Consumer Cyclical,16869361056.48,7.461073411819688,1.1592569404229258,1455187410853.5107,2016
1263,CROX,1036273000.0,0.4827,0.027000000000000003,-0.0159,-0.0748,-0.0437,-0.0515,-5.433,0.0106,0.115,0.0,0.0496,0.0,0.0155,0.0,0.0,13.0428,2.3184,Consumer Cyclical,511150544.95,81.87051352824791,0.03512609723926865,1455187410853.5107,2016
1268,VIAB,12488000000.0,0.4648,0.224,0.1152,0.3362,0.0855,0.807,4.1281,2.7854,0.0954,0.0805,0.044,-0.0006,0.0354,-0.097,10.4959,9.5371,3.5347,Consumer Cyclical,15112594247.7,-12.082117815402267,1.0385325034413275,1455187410853.5107,2016
1270,ETH,794202000.0,0.5568,0.13699999999999998,0.0713,0.1445,0.1406,0.1421,-0.1711,0.1067,-0.0126,-0.0243,0.0368,0.1468,0.0385,0.2149,16.3564,8.2441,2.3385,Consumer Cyclical,916644513.12,-20.912172042872683,0.06299150929173863,1455187410853.5107,2016
1273,CBS,13166000000.0,0.3957,0.192,0.0958,0.3418,0.0799,0.3507,3.4760000000000004,2.5413,0.0528,0.0328,0.0801,0.0803,0.095,-0.0214,22.6725,14.4339,7.5003,Consumer Cyclical,27668563549.56,-7.294877581863236,1.901374581940038,1455187410853.5107,2016
1276,AXL,3948000000.0,0.1839,0.151,0.061,0.4774,0.1038,0.1382,1.5533,2.785,-0.0174,0.0,0.0851,0.1067,0.0675,0.3602,6.3247,4.0604,2.9546,Consumer Cyclical,1489697273.68,-12.576996474146517,0.1023715064169122,1455187410853.5107,2016
1287,CPRT,1268449000.0,0.4293,0.37,0.2131,0.3491,0.1967,0.2606,1.0331,0.8270000000000001,0.1425,0.1598,0.1397,0.1653,0.0979,0.1791,21.7415,12.997,7.0545,Consumer Cyclical,5612410123.04,55.025117302622974,0.38568297672037677,1455187410853.5107,2016
1289,DXLG,442221000.0,0.4609,0.053,-0.019,-0.095,-0.016,-0.057,2.4723,0.7128,-0.0305,0.0,0.0153,0.0,0.028,0.0,0.0,12.5828,2.5702,Consumer Cyclical,235262717.66,-46.987951876446104,0.016167176537213952,1455187410853.5107,2016
1290,OMC,15416900000.0,1.0,0.147,0.0745,0.5313,0.2241,-1.8704,0.8474,2.2892,0.0698,0.0678,0.0538,0.0712,0.0487,0.0814,17.7229,9.6744,9.2814,Consumer Cyclical,20066382633.45,-11.884842012419085,1.3789552111147299,1455187410853.5107,2016
1292,MHK,8959087000.0,0.314,0.188,0.1038,0.1611,0.0915,0.2256,1.4158,0.4348,0.0034,0.0642,0.0805,0.3776,0.057,0.3722,16.0757,10.2804,2.5903,Consumer Cyclical,14962852704.75,36.753404657489156,1.0282423138868306,1455187410853.5107,2016
1294,CTAS,4795772000.0,0.4382,0.246,0.1446,0.3764,0.1446,0.3921,0.9192,0.7025,0.0827,0.1292,0.1131,0.3069,0.0895,0.3604,15.0476,9.5155,5.505,Consumer Cyclical,10143903454.8,35.43312621307153,0.697085707252669,1455187410853.5107,2016
1295,HAS,5019822000.0,0.6204,0.192,0.1098,0.29600000000000004,0.183,0.2937,0.4557,0.9239,0.0732,0.118,0.039,0.0814,0.0854,0.2606,17.7727,10.5933,5.2387,Consumer Cyclical,9758388052.2,16.57046762459715,0.6705932156516126,1455187410853.5107,2016
1296,AN,21609000000.0,0.1533,0.048,0.0199,0.1863,0.0972,0.249,2.5623,1.1776,0.0999,0.1149,0.1702,0.1653,0.1322,0.1055,11.7895,7.3664,2.1544,Consumer Cyclical,4979453149.44,4.159908893137073,0.342186381788405,1455187410853.5107,2016
1306,THO,4582112000.0,0.1585,0.095,0.056,0.2027,0.1635,0.3616,0.3443,0.2845,0.049,0.0542,0.1581,0.2076,0.1263,0.1926,15.6994,9.5858,3.1845,Consumer Cyclical,4029090353.55,51.77463078552049,0.27687776320074253,1455187410853.5107,2016
1307,TGNA,2004088000.0,0.6031,0.506,0.2179,0.1923,0.0584,0.7986,3.9744,1.7801,-0.1206,-0.0859,-0.1588,0.0095,0.0971,0.0587,6.8246,6.8914,1.3039,Consumer Cyclical,2955860254.0416,4.6286190942040895,0.2031257439416618,1455187410853.5107,2016
1308,THRM,917600000.0,0.3215,0.165,0.0835,0.1664,0.1398,0.1655,-0.0374,0.3726,0.2575,0.2809,0.0902,0.3753,0.0857,0.2788,16.1667,8.1398,2.6925,Consumer Cyclical,1239525975.1,-6.480119921944215,0.08517981710499962,1455187410853.5107,2016
1310,PIR,1892230000.0,0.3726,0.069,0.0209,0.1392,0.1023,0.07400000000000001,0.6629999999999999,0.7103,0.0083,0.0,0.1319,-0.115,0.1155,-0.2738,10.5106,3.8115,1.4147,Consumer Cyclical,413320117.6,-49.69921868223947,0.02840322246586613,1455187410853.5107,2016
1312,ROST,11939999000.0,0.2817,0.159,0.0855,0.4129,0.4056,0.3279,-0.1934,0.1602,0.1321,0.2203,0.1216,0.1656,0.1013,0.1215,22.4348,11.9107,9.1438,Consumer Cyclical,22988086183.92,23.51034012166189,1.5797337176272574,1455187410853.5107,2016
1313,CSL,3425200000.0,0.3172,0.165,0.073,0.1014,0.0824,0.1697,0.3726,0.2418,0.0333,0.0094,0.0568,0.0588,0.0485,0.0571,28.3057,12.8113,2.8473,Consumer Cyclical,7047760249.62,5.492493384304297,0.4843197650731653,1455187410853.5107,2016
1314,WSM,4976090000.0,0.3706,0.132,0.0623,0.2588,0.2488,0.2528,-0.295,0.0,0.06,0.0627,0.1084,0.1278,0.1041,0.0971,15.1053,6.7759,3.8699,Consumer Cyclical,4641329829.78,7.7753706673068095,0.3189506585311731,1455187410853.5107,2016
1315,BWA,9071000000.0,0.2126,0.152,0.0656,0.1849,0.0952,0.1791,1.2896,0.6896,0.078,0.1166,0.0538,0.0197,0.0916,0.0054,14.4137,7.4874,2.6333,Consumer Cyclical,8534335316.06,29.178220507339915,0.5864767144360024,1455187410853.5107,2016
1316,CAL,2577430000.0,0.4065,0.068,0.0316,0.1355,0.1064,0.1228,0.4443,0.3268,0.0066,0.0656,0.0066,0.1705,0.006999999999999999,0.4276,14.4516,7.101,1.9528,Consumer Cyclical,1174579956.48,3.8906529364772386,0.08071674807790385,1455187410853.5107,2016
1320,MATW,1480464000.0,0.3759,0.125,0.0451,0.0942,0.0412,0.1249,4.4,1.2313,0.0746,-0.0002,0.0844,-0.0343,0.0868,0.0176,29.7843,14.9103,2.7533,Consumer Cyclical,1951189707.88,-30.484505487424823,0.13408511462695855,1455187410853.5107,2016
1322,MELI,844396000.0,0.6358,0.284,0.1615,0.318,0.3666,0.3269,-0.7511,0.7311,0.1706,0.4383,0.2307,0.1216,0.2134,0.0508,52.11,28.8804,16.5796,Consumer Cyclical,7110215047.82,95.87202867152284,0.48861163825281084,1455187410853.5107,2016
1325,JWN,14437000000.0,0.365,0.116,0.0416,0.6889,0.1638,0.1563,1.3178,3.2204,0.1056,0.0475,0.1182,0.0283,0.0904,-0.0383,15.5062,6.7922,10.1981,Consumer Cyclical,9180527342.66,2.96804327036204,0.6308828178547358,1455187410853.5107,2016
1326,SBGI,2622510000.0,0.412,0.258,0.0935,0.4172,0.0715,0.2487,5.8243,7.1496,0.1302,0.1533,0.2405,0.2264,0.2421,0.4927,12.9198,10.3554,5.2091,Consumer Cyclical,3067974135.35,14.213748535535213,0.21083017297067885,1455187410853.5107,2016
1329,LYV,7826336000.0,0.2795,0.058,0.0004,0.0026,0.0441,0.003,1.7245,2.0542,-0.0268,0.0,0.0558,0.0,0.0504,0.0,0.0,13.9469,4.9298,Consumer Cyclical,5574172293.0,55.36496455289972,0.38305528562335367,1455187410853.5107,2016
1330,ELY,871192000.0,0.4419,0.08800000000000001,0.218,0.3171,0.0563,0.5789,-1.4944,0.02,-0.0472,0.1936,-0.0756,0.0,-0.0716,0.0,5.6287,12.5313,1.7868,Consumer Cyclical,1070062922.58,22.91109739230332,0.07353437190281739,1455187410853.5107,2016
1334,DDS,6754545000.0,0.3559,0.107,0.0399,0.15,0.1008,0.0943,0.8583,0.4588,0.0656,0.1691,0.128,0.2048,0.0879,0.0105,10.1476,4.4181,1.4340000000000002,Consumer Cyclical,2574445983.2,-2.1121211981878267,0.17691508076543974,1455187410853.5107,2016
1336,KMX,15149675000.0,0.1333,0.078,0.0412,0.2146,0.0494,0.1718,8.6637,3.6616,0.0956,0.1694,0.1316,0.1267,0.1575,0.1722,15.0684,16.3133,3.1185,Consumer Cyclical,9054438481.98,-1.0644900411212832,0.622218032842196,1455187410853.5107,2016
1337,PLCE,1725777000.0,0.3622,0.08900000000000001,0.0335,0.1097,0.1424,0.0969,-1.4802,0.0,0.0343,0.0271,0.0644,-0.0066,0.0398,0.0256,22.9187,6.9411,2.4416,Consumer Cyclical,1295072267.7,46.07979074160457,0.08899694005326789,1455187410853.5107,2016
